選手名,登録番号,卒業期,地区,ホームバンク,府県,脚質,生年月日,縁故選手,友人,練習仲間,練習グループ,師匠,弟子,好きな周長,好きな車番,好きな食べ物,嫌いな食べ物
上原　龍,14454,95期,関東,-,長野県,追,1985/4/4,-,-,天田　裕輝（群　馬・91期）、荒井　春樹（長　野・99期）、中嶋　宣成（長　野・113期）,-,市村　和昭（長　野・48期）,荒井　春樹（長　野・99期）、中嶋　宣成（長　野・113期）,-,1,魚・肉,-
浮島　知稀,15694,123期,関東,前橋,群馬県,逃,2000/7/20,-,-,須藤　直道（群　馬・68期）、櫻井　学（群　馬・84期）、櫻井　紀幸（群　馬・68期）、金子　真也（群　馬・69期）、高橋　由記（群　馬・88期）,-,須藤　直道（群　馬・68期）,-,333m,1,からあげ,なし
内山　雅貴,15262,113期,南関東,静岡,静岡県,逃,1995/4/3,-,渡邉　直弥（静　岡・113期）,新田　康仁（静　岡・74期）、清水　彩那（静　岡・116期）、鈴木　陸来（静　岡・117期）、當銘沙恵美（愛　知・118期）、當銘　直美（愛　知・114期）,-,新田　康仁（静　岡・74期）,-,400m,-,-,-
梅崎　隆介,15654,121期,九州,佐世保,長崎県,両,1990/3/14,-,南儀　拓海（富　山・121期）、齋藤　雄行（神奈川・121期）、高本　和也（神奈川・121期）、岸田　剛（福　井・121期）,荒井　崇博（長　崎・82期）、井上　昌己（長　崎・86期）、西田　将士（長　崎・105期）、船倉　卓郎（長　崎・99期）、山口幸太郎（長　崎・99期）、井手　健（長　崎・79期）、平尾　一晃（長　崎・111期）,諫早干拓グループ,足達　重満（長　崎・80期）,-,400m,１・９,焼肉,なし
瓜生　崇智,15132,109期,九州,熊本,熊本県,追,1995/2/17,-,内藤　秀久（神奈川・89期）,合志　正臣（熊　本・81期）、山川　奨太（熊　本・117期）,-,合志　正臣（熊　本・81期）,-,-,２・４,鮨,トマト
江連　和洋,13014,76期,関東,宇都宮,栃木県,追,1972/3/6,-,-,-,宇都宮競輪場,瀧深　一彦（栃　木・40期）,青木　美優（栃　木・106期）、片岡　美奈（栃　木・126期）,-,2,ラーメン・寿司,-
海老根　恵太,13765,86期,南関東,千葉,千葉県,追,1977/7/27,-,菊地　圭尚（北海道・89期）、井上　昌己（長　崎・86期）、山田　英明（佐　賀・89期）,武井　大介（千　葉・86期）、藤田　大輔（千　葉・91期）、山本　健也（千　葉・89期）、山中　秀将（千　葉・95期）、近藤　隆司（千　葉・90期）、和田健太郎（千　葉・87期）、伊勢崎彰大（千　葉・81期）,-,森下　太志（千　葉・61期）,-,-,9,魚,セロリ
遠藤　拓巳,15836,125期,四国,高松,香川県,逃,1999/12/29,-,貝原　涼太（栃　木・125期）、塩島嵩一朗（神奈川・125期）、角田　光（福　島・125期）、中島　淳（埼　玉・125期）、小田　恭介（青　森・125期）、阿部　俊（静　岡・125期）、中島　詩音（山　梨・119期）、立花　昌也（青　森・123期）,木村　浩宣（香　川・97期）、児玉慎一郎（香　川・76期）、福島　栄一（香　川・93期）、福島　武士（香　川・96期）、上野　雅彦（香　川・119期）、石原　颯（香　川・117期）、北野　佑汰（香　川・115期）,-,木村　浩宣（香　川・97期）,-,400m,1,寿司,-
大石　剣士,15096,109期,南関東,伊東,静岡県,逃,1995/12/1,-,-,-,伊東地区のみなさん,梶原　亜湖（静　岡・73期）,-,-,3,寿司,レバー、なめこ汁
大石　崇晴,15106,109期,近畿,-,大阪府,両,1992/10/2,-,-,川村　晃司（京　都・85期）、中川　繁樹（京　都・93期）,早朝練習グループ,中川　繁樹（京　都・93期）,-,-,３・５,お好み焼き,トマト
大川　剛,15598,121期,北日本,青森,青森県,逃,1999/1/24,-,小坂　丈（茨　城・121期）、滝本　幸正（新　潟・121期）、真鍋　智寛（愛　媛・121期）,-,八戸地区の皆さま,永澤　剛（青　森・91期）,-,400m,1,-,なし
大川　龍二,14182,91期,中国,広島,広島県,両,1984/9/4,-,-,佐古　雅俊（広　島・45期）、郡　英治（広　島・68期）、阿部　亮治（広　島・64期）、吉永　好宏（広　島・80期）、細川　貴史（広　島・87期）、隅田　幸助（広　島・91期）、戸田みよ子（広　島・102期）、兵動　秀治（広　島・97期）、甲斐下　智（広　島・64期）,佐古グループ,阿部　亮治（広　島・64期）,-,-,6,ぶどう,-
大澤　雄大,14009,89期,関東,大宮,埼玉県,追,1982/2/16,-,-,新井　剛央（埼　玉・86期）、岡　光良（埼　玉・94期）、池田　勇人（埼　玉・90期）、阿部　大樹（埼　玉・94期）、高橋　泰裕（埼　玉・107期）、菱沼　元樹（埼　玉・111期）、小玉　勇一（埼　玉・113期）,-,新井　正昭（埼　玉・31期）,小玉　勇一（埼　玉・113期）,-,9,焼肉・ステーキ・すき焼き・しゃぶしゃぶ,パセリ・ハーブ・きゅうり
太田　海也,15597,121期,中国,玉野,岡山県,逃,1999/7/27,-,近藤　雄太（岡　山・121期）、後藤　大輝（福　岡・121期）、室井蓮太朗（徳　島・121期）、福田　要（宮　崎・121期）、米村　光星（熊　本・121期）、小西　晴己（三　重・121期）、日高　裕太（静　岡・121期）、大川　剛（青　森・121期）、滝本　幸正（新　潟・121期）、長谷川飛向（東　京・121期）,-,-,藤田　昌宏（岡　山・82期）,-,400m,7,全ての食材,なし
太田　龍希,15426,117期,関東,大宮,埼玉県,逃,2000/9/9,太田耕二（59期）太田真一（75期）,藤田　周磨（埼　玉・117期）、戸邉　捺希（埼　玉・117期）、山田　雄大（埼　玉・117期）、桑名　僚也（埼　玉・119期）,太田　真一（埼　玉・75期）、鈴木　孝征（埼　玉・75期）、吉田　勇人（埼　玉・86期）、吉田　裕全（埼　玉・90期）、岸澤　賢太（埼　玉・91期）、細田　愛未（埼　玉・108期）、新井　美菜（埼　玉・116期）,-,太田　真一（埼　玉・75期）,-,-,-,-,-
太田　竜馬,15121,109期,四国,小松島,徳島県,逃,1996/4/4,-,島川　将貴（徳　島・109期）、田村　裕也（徳　島・113期）、川口　雄太（徳　島・111期）,島川　将貴（徳　島・109期）、山本　宏明（徳　島・83期）、原田研太朗（徳　島・98期）、室井　健一（徳　島・69期）、田村　裕也（徳　島・113期）,室井国,山本　宏明（徳　島・83期）,-,-,3,刺身、酸っぱい物,貝、わさび、なす
大塚　玲,14017,89期,南関東,平塚,神奈川県,追,1981/8/24,大塚 円(兄75期・引退)小嶋 雄太(義兄85期・引退),内藤　秀久（神奈川・89期）、佐藤　有輝（神奈川・85期）、吉原　友彦（神奈川・83期）,内藤　秀久（神奈川・89期）、佐藤　有輝（神奈川・85期）、吉原　友彦（神奈川・83期）,-,大塚　円（神奈川・75期）,添田　龍児（神奈川・121期）,-,2,焼肉・寿司・ステーキ,なす
大塚　健一郎,13519,82期,九州,別府,大分県,追,1977/10/14,-,土井　勲（岡　山・82期）、畠山　裕行（神奈川・82期）、松坂　英司（神奈川・82期）、近藤　範昌（岡　山・82期）、野村　純宏（神奈川・82期）、吉岡　篤志（徳　島・82期）,梶原　恵介（大　分・92期）、安部　龍文（大　分・94期）,別府競輪場グループ,山田　文俊（大　分・31期）,-,-,3,焼肉,春巻き・レバー
大槻　寛徳,13673,85期,北日本,-,宮城県,追,1979/5/20,長田 彰人(義弟95期),-,若林　哲夫（宮　城・24期）,-,若林　哲夫（宮　城・24期）,-,-,1,スイカ,ピーマン
大坪　功一,13443,81期,九州,小倉,福岡県,追,1977/4/14,-,-,八谷　誠賢（福　岡・77期）、吉田　勇気（福　岡・117期）、山本　浩成（福　岡・119期）、名川　豊（福　岡・99期）,-,阿部　和彦（福　岡・34期）,吉田　勇気（福　岡・117期）、山本　浩成（福　岡・119期）,-,２，３，９,焼肉,-
大西　貴晃,14890,101期,九州,別府,大分県,両,1992/9/18,-,山崎　翼（大　分・95期）、池部　壮太（大　分・109期）,菅原　晃（大　分・85期）、山崎　翼（大　分・95期）、池部　壮太（大　分・109期）、高橋　義秋（大　分・96期）、萱島　大介（大　分・99期）、魚屋　周成（大　分・99期）、松田　直也（大　分・92期）、阿部　将大（大　分・117期）,-,菅原　晃（大　分・85期）,-,-,3,肉・魚,ゴーヤ
大西　祐,14187,91期,四国,松山,愛媛県,両,1986/12/20,-,-,佐伯　智恵（愛　媛・114期）、北野　佑汰（香　川・115期）,-,高橋　正樹（香　川・48期）,佐伯　智恵（愛　媛・114期）、北野　佑汰（香　川・115期）,333m,4,讃岐うどん･まさ子さんクッキー･ネギ･あっさりした物,牡蠣･鰻･生ｸﾘｰﾑ･むつごい物
大野　悟郎,13593,83期,九州,別府,大分県,追,1979/10/10,-,小佐野文秀（山　梨・83期）,-,-,-,-,-,２・７,-,しいたけ
大洞　翔平,14830,100期,中部,岐阜,岐阜県,追,1991/9/30,大洞 孝義(父49期・引退),-,永井　清史（岐　阜・88期）、川西　貴之（岐　阜・99期）、横関　裕樹（岐　阜・99期）、鷲見　逸喜（岐　阜・79期）,-,松尾　淳（岐　阜・77期）,-,-,１・３,すし、カレー,なす、きゅうり
大槇　大介,15544,119期,中国,玉野,岡山県,逃,1996/2/3,-,米嶋　恵介（岡　山・119期）、山崎　航（山　口・119期）、犬伏　湧也（徳　島・119期）、吉田　悟（熊　本・119期）,友定　祐己（岡　山・82期）、近藤　修康（岡　山・67期）、近藤　範昌（岡　山・82期）、在本　直樹（岡　山・93期）、田中　勇二（岡　山・95期）、高井　流星（岡　山・113期）、田上　晃也（岡　山・115期）、小川　巧（岡　山・57期）,近藤グループ,友定　祐己（岡　山・82期）,-,400m,1,-,-
大森　慶一,13900,88期,北日本,函館,北海道,追,1981/10/15,大森 芳明(父41期・引退)外崎 一成(従弟94期)外崎 浩之(伯父47期・引退),石橋慎太郎（静　岡・88期）、山崎　芳仁（福　島・88期）,竹内　優也（北海道・89期）、菊地　圭尚（北海道・89期）、明田　春喜（北海道・89期）、大森　光明（北海道・117期）、森田　康嗣（北海道・89期）,-,大森　芳明（北海道・41期）,大森　光明（北海道・117期）、渋谷　海（香　川・113期）、中石　湊（北海道・125期）,400m,9,ラーメン・焼肉,ネギ系
大屋　健司,13886,87期,中国,広島,広島県,追,1981/9/4,吉本 哲郎(従兄弟84期),-,-,-,田村　光昭（広　島・67期）,藏本　徹二（広　島・111期）、藤井　將（広　島・113期）,-,8,甘いもの、お酒,きのこ類、ナス、セロリ
大矢　崇弘,15043,107期,関東,西武園,東京都,追,1991/5/12,-,-,-,西武園クラブ,飯田　義広（東　京・44期）,-,333m,3,フライドポテト,トマト
大矢　将大,13407,81期,関東,西武園,埼玉県,追,1979/1/17,大矢勝也(従兄57期･引退)大矢勇一(従兄65期･引退)大矢憲三(父33期･引退),-,宿口　陽一（埼　玉・91期）、宿口　潤平（埼　玉・91期）、武藤　龍生（埼　玉・98期）、平原　康多（埼　玉・87期）、平原　啓多（埼　玉・97期）,西武園に来る皆様,大矢　憲三（新　潟・33期）,-,250m,１・２,鹿､猪､牛肉､魚料理､妻の手作り米粉ピッツァ,無し
岡崎　智哉,14545,96期,近畿,-,大阪府,両,1985/6/7,-,-,古性　優作（大　阪・100期）,-,中武　克雄（大　阪・57期）,常次　勇人（大　阪・121期）,-,2,カツ丼・ケーキ,ブロッコリー
岡田　征陽,13685,85期,関東,京王閣,東京都,追,1980/4/6,-,-,-,-,富山　健一（東　京・43期）,-,-,１・７,寿司・焼肉,ゆず
岡田　泰地,14806,100期,関東,宇都宮,栃木県,追,1992/1/28,-,福田　拓也（栃　木・100期）,神山　拓弥（栃　木・91期）、長島　大介（栃　木・96期）、磯田　旭（栃　木・96期）、福田　拓也（栃　木・100期）、坂本将太郎（栃　木・101期）、金子　幸央（栃　木・101期）,-,神山　拓弥（栃　木・91期）,-,-,5,ラーメン、焼き肉,にんじん
岡田　亮太,15430,117期,関東,立川,東京都,逃,2000/10/4,-,鈴木　玄人（東　京・117期）,鈴木　玄人（東　京・117期）、長谷川飛向（東　京・121期）,新津久井湖ｸﾞﾙｰﾌﾟ､ｻﾏｰﾗﾝﾄﾞｸﾞﾙｰﾌﾟ,川上　真吾（東　京・98期）,-,400m,3,焼肉、寿司,メロン
岡村　潤,13772,86期,南関東,静岡,静岡県,追,1981/11/12,-,岩津　裕介（岡　山・87期）,伊藤　拓人（静　岡・94期）、柴田　竜史（静　岡・96期）、黒田　直記（静　岡・72期）、齋藤　光洋（静　岡・80期）、遠藤　勝弥（静　岡・109期）、青島　宗仁（静　岡・51期）,青島道場,杉浦　大志（静　岡・32期）,近藤　武寿（静　岡・119期）、松本　京太（静　岡・123期）,-,3,刺身・焼肉・寿司・ｱｻﾘの酒蒸･ｽｲｶ･貝類,セロリ
岡本　総,14996,105期,中部,豊橋,愛知県,追,1987/7/27,-,-,-,豊橋競輪場グループ,小林　信晴（愛　知・83期）,-,-,1,チャーハン,なし
岡本　大嗣,13967,88期,関東,京王閣,東京都,追,1980/4/17,-,-,-,京王閣競輪場グループ,梶應　弘樹（愛　媛・57期）,-,-,-,-,-
小笠原　光,15416,117期,北日本,-,岩手県,両,1996/4/12,-,松岡　辰泰（熊　本・117期）、坂本　紘規（青　森・117期）、松本秀之介（熊　本・117期）、伊藤　旭（熊　本・117期）、久田　裕也（徳　島・117期）、小浦　凪（岐　阜・117期）、青柳　靖起（佐　賀・117期）、藤野　竜也（栃　木・117期）、仁藤　秀（静　岡・117期）,佐藤　博紀（岩　手・96期）、藤根　俊貴（岩　手・113期）、後藤　悠（岩　手・115期）、照井　拓成（岩　手・115期）、高木　翔（岩　手・105期）、佐藤　佑一（岩　手・92期）、松岡　辰泰（熊　本・117期）,-,-,-,400m,１・２・３・９,うどん、肉、焼うどん,ありません
